Timestamp	Select your telescope:	Enter the local *start of night* date:	Please briefly summarize your night:	Select the name of the first target:	For how long did you observe the first target?	Select the name of the second target:	For how long did you observe the second target?
2021/10/19 01:12:57 PM	Lulin	2021/10/17	The weather condition: UT1230 - 1254 cloud pass, 1254 -1434 clear, 1434-1732 cloudy, 1732-1757 clear, 1757-1840 thin cloud, after 1840 cloudy.	LP_229-30	1:45:00		
2021/10/28 06:17:02 PM	Calar Alto	1993/10/28	Just a few frames, very bad weather	GJ806	0:10:00		
2021/10/29 05:12:31 PM	Calar Alto	2021/10/29	Could not observe whole night due to clouds				
2021/10/30 05:05:44 PM	Calar Alto	2021/10/30	Could not observe due to bad weather				
2021/10/31 06:04:41 PM	Calar Alto	2021/10/31	No observations due to bad weather				
2021/11/01 03:25:09 PM	Calar Alto	2021/11/01	No observations at all due to bad weather				
2021/11/02 05:44:24 PM	Calar Alto	2021/11/02	Dome closed all night due to high winds and clouds				
2021/11/10 04:00:02 AM	Calar Alto	2021/11/09	Only 2h of science due to bad weather (clouds & high humidity)	GJ806	0:00:00	2MASS J05392474+4038437	2:00:00
2021/11/10 10:27:45 PM	Bok	2021/11/10	Clear sky, but the temperature was close to the dew point. Technical issues that took time to be solved early in the night → issues with the auto-guider and the remote control of the filter wheel. For the second target, no technical issues.	GJ806	1:30:00	2MASS J05392474+4038437	5:40:00
2021/11/11 10:33:17 PM	Calar Alto	2021/11/11	Observed two targets for the whole night 	GJ806 	3:00:00	2MASS J05392474+4038437	6:40:00
2021/11/12 09:53:58 PM	Calar Alto	2021/11/12	No observations possible due to humidity and clouds				
2021/11/13 06:40:07 PM	Calar Alto	2021/10/13	High humidity never allowed for opening dome				
2021/11/14 10:36:57 PM	Calar Alto	2021/11/14	Observed both targets, lost some time from 1st due to autoguider issues.	GJ806	4:00:00	2MASS J05392474+4038437	6:25:00
2021/11/15 10:12:41 PM	Calar Alto	2021/11/15	Clear night. Beginning of the astro night was a bit humid, but improved from 00:00 UT. Many technical issues (auto-guider and filter wheel) made me waste at least 2 hours of observational time.	GJ806	3:57:00	2MASS J05392474+4038437	4:30:00
2022/01/11 10:10:04 AM	Lulin	2021/12/21	no observation				
2022/01/11 10:12:04 AM	Lulin	2021/12/22	The sky was clear before UT17:50 and then cloudy.	2MASS J04402325-0530082	5:01:00	2MASS J04351612-1606574	2:00:00
2022/01/11 10:13:09 AM	Lulin	2021/12/23	It was cloudy all night.	2MASS J04351612-1606574	1:16:00		
2022/01/11 10:14:26 AM	Lulin	2021/12/24	The sky was clear between UT 12:20-14:15.	2MASS J04351612-1606574	0:48:00		
2022/01/11 10:14:56 AM	Lulin	2021/12/25	rain and no observation				
2022/01/11 10:15:18 AM	Lulin	2021/12/26	cloudy and no observation.				
2022/01/11 10:20:42 AM	Lulin	2021/12/27	no observation				
2022/01/11 10:21:54 AM	Lulin	2021/12/28	The sky was clear all night.	2MASS J04351612-1606574	3:00:00	2MASS J08533619-0329321	5:47:00
2022/01/11 10:23:07 AM	Lulin	2021/12/29	The sky was clear all night.	2MASS J04402325-0530082	3:45:00	2MASS J08533619-0329321	5:41:00
2022/01/11 10:24:29 AM	Lulin	2021/12/30	The sky was clear between UT 11:15 to 13:50 and cloud/fog pass by sometimes, and clear after UT 14:40.	2MASS J04402325-0530082	3:50:00	2MASS J08533619-0329321	4:39:00
2022/01/11 10:25:22 AM	Lulin	2021/12/31	The sky was clear all night.	2MASS J04402325-0530082	1:57:00		
2022/01/11 10:26:25 AM	Lulin	2022/01/01	The sky was clear all night.	2MASS J04402325-0530082	4:15:00	2MASS J08255285+6902016	4:41:00
2022/01/11 10:27:34 AM	Lulin	2022/01/02	The sky was clear all night.	2MASS J08255285+6902016	0:19:00	2MASS J04402325-0530082	2:21:00
2022/01/11 10:28:49 AM	Lulin	2022/01/02	The sky was clear all night.	2MASS J04351612-1606574	1:44:00	2MASS J08533619-0329321	4:43:00
2022/01/11 10:29:54 AM	Lulin	2022/01/03	The sky was clear after UT10:50.	2MASS J04351612-1606574	3:28:00	2MASS J08255285+6902016	5:36:00
2022/01/11 10:31:19 AM	Lulin	2022/01/04	It was cloudy all the time.	2MASS J04351612-1606574	1:03:00	2MASS J08533619-0329321	2:33:00
2022/01/11 10:32:10 AM	Lulin	2022/01/05	The weather was unstable and no observation.				
2022/01/11 10:32:32 AM	Lulin	2022/01/06	rain and no observation				
2022/02/09 06:58:52 AM	Lulin	2022/02/03	cloudy and no observation.				
2022/02/09 06:59:51 AM	Lulin	2022/02/04	The sky was clear all night.	2MASS_J08255285+6902016	9:00:00		
2022/02/09 07:01:24 AM	Lulin	2022/02/05	The sky was clear all night.	2MASS_J08533619-0329321	6:57:00	2MASS_J08255285+6902016	2:16:00
2022/02/09 07:02:44 AM	Lulin	2022/02/06	The sky was clear most of the time, but thin clouds passed between UT 18:50-18:57 and after UT 19:26.	2MASS_J08255285+6902016	8:28:00		
2022/02/27 05:30:00 PM	Calar Alto	2022/02/27	No observation due to bad weather				
2022/02/28 10:29:28 PM	Calar Alto	2022/02/28	High humidity, difficult conditions, finally one hour on late-night target.	2MASS J14280419+1356137	1:08:00		
2022/03/01 10:43:40 PM	Calar Alto	2022/03/01	Clear sky, good conditions, fully observed two targets	 2MASS J08255285+6902016	4:50:00	2MASS J14280419+1356137	5:27:00
2022/03/07 10:02:14 AM	Lulin	2022/02/25	The sky was clear all night. 	2MASS_J11505787+4822395	3:41:00	2MASS_J14280419+1356137	4:19:00
2022/03/07 10:03:16 AM	Lulin	2022/02/26	The sky was clear all night.	2MASS_J05392474+4038437	3:57:00	2MASS_J14280419+1356137	4:38:00
2022/03/07 10:04:32 AM	Lulin	2022/02/27	The sky was clear all night.	2MASS_J11505787+4822395	3:57:00	2MASS_J14280419+1356137	4:58:00
2022/03/07 10:05:39 AM	Lulin	2022/02/28	The sky was clear all night. 	2MASS_J05392474+4038437	0:36:00	2MASS_J11505787+4822395	2:27:00
2022/03/07 10:06:47 AM	Lulin	2022/02/28	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	5:30:00		
2022/03/07 10:08:01 AM	Lulin	2022/03/01	The sky was clear all night.	2MASS_J05392474+4038437	0:52:00	2MASS_J11505787+4822395	3:37:00
2022/03/07 10:08:54 AM	Lulin	2022/03/01	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	3:54:00		
2022/03/07 10:09:49 AM	Lulin	2022/03/02	The sky was clear, but cloud past after 20:30 UT.	2MASS_J11505787+4822395	3:38:00	2MASS_J14280419+1356137	5:50:00
2022/04/25 08:51:33 PM	Calar Alto	2022/04/25	Clear night	2MASS_J15242475+2925318	7:00:00		
2022/04/29 08:51:51 PM	Calar Alto	2022/04/29	Half of the night lost to bad weather	2MASS_J15242475+2925318	4:00:00		
2022/04/30 08:54:05 PM	Calar Alto	2022/04/30	Good weather throughout the night, allowed observation of target from beginning to end of Astro Night	2MASS_J15242475+2925318	6:45:00		
2022/05/01 08:55:18 PM	Calar Alto	2022/05/01	Weather was mostly ok, except at the beginning for a bit more than an hour.	2MASS_J15242475+2925318	5:30:00		
2022/05/02 07:13:23 PM	Calar Alto	2022/05/02	No observations due to bad weather				
2022/05/04 05:33:05 PM	Calar Alto	2022/05/02	no observations due to bad weather.				
2022/05/04 05:33:32 PM	Calar Alto	2022/05/04	no observations due to bad weather.				
2022/05/17 02:23:53 PM	Lulin	2022/05/03	cloudy and rain. no observation.				
2022/05/17 02:24:10 PM	Lulin	2022/05/04	cloudy and rain. no observation.				
2022/05/17 02:25:44 PM	Lulin	2022/05/05	There was thin cloud past after UT16:30.	2MASS_J15345704-1418486	3:08:00		
2022/05/17 02:26:59 PM	Lulin	2022/05/06	The sky was cloudy all night.	2MASS_J15345704-1418486	3:34:00		
2022/05/17 02:27:24 PM	Lulin	2022/05/07	The sky was cloudy and no observation.				
2022/05/17 02:27:53 PM	Lulin	2022/05/08	cloudy and no observation.				
2022/05/17 02:29:25 PM	Lulin	2022/05/09	cloudy all night	2MASS_J15345704-1418486	3:20:00	2MASS_J15242475+2925318	1:03:00
